"week","postcode","latitude","longitude","population","y","x","warning.score","sim"
0,"B14 6TN",52.42452,-1.906414,80,5829.606624,-63.4377090863145,0.153846153846154,"end."
0,"B15 2BQ",52.47047,-1.908348,59,5834.716264,-63.2771806757633,0.133928571428571,"end."
0,"B42 2RZ",52.537574,-1.902311,177,5842.1782288,-62.7494906002714,0.122033898305085,"end."
0,"B61 0DB",52.344263,-2.052947,18,5820.6820456,-68.7360777043729,0.115044247787611,"end."
0,"B91 3GX",52.404863,-1.775618,17,5827.4207656,-59.1748398367423,0.17175572519084,"end."
0,"BH178AN",50.751264,-1.961944,128,5643.5405568,-73.6474772709493,0.123076923076923,"end."
0,"BH206HX",50.67676,-2.236368,44,5635.255712,-84.3701379118616,0.676470588235294,"end."
0,"CM2 6PH",51.735899,0.501078,230,5753.0319688,17.5562500044076,0.0530973451327434,"end."
0,"CV311QP",52.2808,-1.518325,39,5813.62496,-51.0829070074843,0.132530120481928,"end."
0,"CV6 6AB",52.456167,-1.490555,93,5833.1257704,-49.478643268598,0.373205741626794,"end."
0,"CW2 6AY",53.083218,-2.434278,126,5902.8538416,-76.8813237376156,0,"end."
0,"DH9 0UF",54.873585,-1.679327,48,6101.942652,-45.2437848909483,0.0842105263157895,"end."
0,"DT3 6AS",50.645899,-2.451547,39,5631.8239688,-92.6792965144066,0.867647058823529,"end."
0,"E1  2QX",51.513614,-0.056547,167,5728.3138768,-2.01326355727816,0.0104477611940299,"end."
0,"E11 3SE",51.564146,0.026332,79,5733.9330352,0.934119669750194,0.0615141955835962,"end."
0,"E4  9BL",51.613773,-0.013041,115,5739.4515576,-0.460976875972932,0.0782608695652174,"end."
0,"E5  0DW",51.550191,-0.038992,103,5732.3812392,-1.38461506033868,0.0372492836676218,"end."
0,"E7  9BS",51.552885,0.016976,20,5732.680812,0.602705275086215,0.0451713395638629,"end."
0,"EX109EY",50.691262,-3.240235,75,5636.8683344,-122.123644034118,0.0714285714285714,"end."
0,"EX166DF",50.907624,-3.479539,24,5660.9277888,-129.237831327422,0.0833333333333333,"end."
0,"GL504DW",51.902288,-2.073498,24,5771.5344256,-71.7685778773948,0,"end."
0,"HP157HZ",51.654618,-0.710559,47,5743.9935216,-25.0430772194995,0.0201342281879195,"end."
0,"IG110JY",51.526815,0.097451,132,5729.781828,3.46630842098618,0.0159680638722555,"end."
0,"IP4 5LB",52.05728,1.192314,148,5788.769536,40.7965303423615,0,"end."
0,"KT171LZ",51.345604,-0.256021,56,5709.6311648,-9.22463966306099,0,"end."
0,"LA2 0LT",54.003642,-2.789054,754,6005.2049904,-81.4504650018689,0.0161290322580645,"end."
0,"LE4 0PU",52.660393,-1.165756,28,5855.8357016,-38.0859351332735,0.0487804878048781,"end."
0,"LN6 0RA",53.215564,-0.615716,52,5917.5707168,-19.2359770795065,0.0222222222222222,"end."
0,"LS236QT",53.881181,-1.353393,38,5991.5873272,-39.9535460822618,0.0192307692307692,"end."
0,"LS236QX",53.879838,-1.354265,18,5991.4379856,-39.9840005620254,0.0188679245283019,"end."
